UserAgent,Page Views
BBCNews/3.6.0.153 CFNetwork/758.5.3 Darwin/15.6.0,"110,529"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920W8 Build/MMB29K),"109,408"
BBCBeacon/0.74b (KFTT; Android 4.0.3) news/2.2,"108,203"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; LG-H850 Build/MMB29M),"107,641"
BBCNews/3.4.1.2 CFNetwork/711.3.18 Darwin/14.0.0,"107,166"
Dalvik/2.1.0 (Linux; U; Android 6.0; XT1072 Build/MPB24.65-34),"101,938"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G360F Build/LRX22G),"101,898"
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T560 Build/KTU84P),"100,708"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T210 Build/KOT49H),"100,062"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G900I Build/MMB29M),"99,671"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-N7100 Build/KOT49H),"98,683"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; SCH-I545 Build/LRX22C),"97,738"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T700 Build/LRX22G),"95,080"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Hudl HT7S3 Build/JDQ39),"94,730"
BBCNews/3.7.1.8 CFNetwork/758.1.6 Darwin/15.0.0,"94,726"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910C Build/MMB29K),"94,563"
Dalvik/2.1.0 (Linux; U; Android 7.0; Nexus 6P Build/NRD90M),"92,518"
Dalvik/2.1.0 (Linux; U; Android 6.0; PLK-L01 Build/HONORPLK-L01),"92,329"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T710 Build/MMB29K),"92,212"
BBCBeacon/0.74b (KFTBWI; Android 5.1.1) news/2.5.3 UK,"91,782"
BBCBeacon/0.74b (KFJWI; Android 4.0.4) news/2.5.3 UK,"91,554"
BBCNews/3.9.1.48 CFNetwork/758.3.15 Darwin/15.4.0,"88,956"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G935V Build/MMB29M),"87,913"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; E6853 Build/32.2.A.0.253),"86,917"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Hudl 2 Build/KOT49H),"86,134"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N920V Build/MMB29K),"85,619"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; HTC One M8s Build/MMB29M),"85,282"
